epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8962,3.72644,7.62362,1.7765,0,0,0,0,2.85128,5.37143,1.19135,0.00032381,0.00032381,0.00032381
2,40.9235,2.98495,5.35477,1.23437,0.00088,0.04991,0.01748,0.00829,2.5591,3.96422,1.11984,0.00063112,0.00063112,0.00063112
3,56.7368,2.65048,4.11632,1.13605,0.48885,0.18954,0.2174,0.08989,2.38085,2.76745,1.07852,0.00091203,0.00091203,0.00091203
4,72.5878,2.55296,3.62275,1.11156,0.37324,0.33933,0.28956,0.12197,2.36397,2.25692,1.07354,0.0008812,0.0008812,0.0008812
5,88.7601,2.41046,3.15778,1.06072,0.45685,0.41233,0.40468,0.17551,2.16737,2.10751,1.00894,0.0008416,0.0008416,0.0008416
6,104.639,2.30996,2.81311,1.04151,0.4915,0.44428,0.43787,0.17607,2.17228,1.8955,1.00179,0.000802,0.000802,0.000802
7,119.287,2.23634,2.7012,1.01965,0.5921,0.48993,0.53193,0.22912,2.07286,1.82199,0.98883,0.0007624,0.0007624,0.0007624
8,134.879,2.14993,2.39878,1.01092,0.61116,0.55063,0.56624,0.24154,2.05069,1.64371,0.97461,0.0007228,0.0007228,0.0007228
9,150.427,2.16947,2.31034,1.01821,0.63714,0.60617,0.61219,0.27454,1.96164,1.51792,0.96727,0.0006832,0.0006832,0.0006832
10,165.322,2.0839,2.1106,0.99568,0.72937,0.59463,0.65835,0.29742,1.93565,1.43558,0.95581,0.0006436,0.0006436,0.0006436
11,181.565,2.12186,2.02159,1.00472,0.72695,0.58579,0.66159,0.26786,2.08933,1.49523,0.97057,0.000604,0.000604,0.000604
12,196.38,2.04951,1.8984,0.98488,0.70703,0.63825,0.69773,0.3066,1.923,1.37466,0.94882,0.0005644,0.0005644,0.0005644
13,211.747,2.00325,1.8372,0.97502,0.7623,0.63185,0.70176,0.32936,1.89606,1.36607,0.94436,0.0005248,0.0005248,0.0005248
14,227.307,2.01829,1.84988,0.97798,0.7898,0.6674,0.73003,0.33319,1.87884,1.28614,0.9484,0.0004852,0.0004852,0.0004852
15,242.727,1.95908,1.73227,0.96452,0.70222,0.68527,0.71701,0.32028,1.88735,1.35104,0.94175,0.0004456,0.0004456,0.0004456
16,264.04,1.85704,1.64794,0.97587,0.8178,0.67199,0.7447,0.3343,1.91966,1.28789,0.94844,0.000406,0.000406,0.000406
17,279.982,1.85573,1.62453,0.98529,0.80407,0.68179,0.74202,0.33007,1.92,1.24538,0.94201,0.0003664,0.0003664,0.0003664
18,294.986,1.79634,1.49746,0.98196,0.81171,0.69651,0.75538,0.34043,1.90112,1.20173,0.94361,0.0003268,0.0003268,0.0003268
19,309.915,1.78116,1.47423,0.97555,0.84023,0.67387,0.76054,0.35768,1.84376,1.18528,0.93534,0.0002872,0.0002872,0.0002872
20,325.269,1.74529,1.41707,0.96324,0.82745,0.71761,0.78319,0.35018,1.86108,1.15607,0.93362,0.0002476,0.0002476,0.0002476
21,341.144,1.75582,1.40188,0.9682,0.83276,0.71637,0.77766,0.36581,1.79243,1.14876,0.92574,0.000208,0.000208,0.000208
22,356.287,1.72708,1.36166,0.96078,0.82569,0.72937,0.8005,0.37156,1.78265,1.1269,0.9234,0.0001684,0.0001684,0.0001684
23,371.927,1.71814,1.33097,0.95829,0.84888,0.72116,0.80229,0.38815,1.75192,1.07169,0.9192,0.0001288,0.0001288,0.0001288
24,387.025,1.68795,1.31378,0.95128,0.82903,0.74736,0.80864,0.38586,1.74515,1.08163,0.91457,8.92e-05,8.92e-05,8.92e-05
25,402.332,1.67874,1.2676,0.9505,0.83108,0.75203,0.80888,0.38564,1.75322,1.07634,0.9165,4.96e-05,4.96e-05,4.96e-05
